id;name;capital;coords
FJI;Fiji;Suva;-18.1416,178.4419
TZA;Tanzania;Dodoma;-6.173056,35.741944
SAH;Western Sahara;Laayoune;27.153611,-13.203333
CAN;Canada;Ottawa;45.424722,-75.695
USA;United States;Washington D.C.;38.904722,-77.016389
KAZ;Kazakhstan;Nur-Sultan;51.166667,71.433333
UZB;Uzbekistan;Tashkent;41.3,69.266667
PNX;Papua New Guinea;Port Moresby;-9.478889,147.149444
IDN;Indonesia;Jakarta;-6.2,106.816667
ARG;Argentina;Buenos Aires;-34.603333,-58.381667
CHL;Chile;Santiago;-33.45,-70.666667
COD;Democratic Republic of the Congo;Kinshasa;-4.325,15.322222
SOM;Somalia;Mogadishu;2.033333,45.333333
KEN;Kenya;Nairobi;-1.286389,36.817222
SDN;Sudan;Khartoum;15.500556,32.56
TCD;Chad;N'Djamena;12.113056,15.049167
HTI;Haiti;Port-au-Prince;18.533333,-72.333333
DOM;Dominican Republic;Santo Domingo;18.466667,-69.95
RUS;Russian Federation;Moscow;55.755833,37.617222
BHS;Bahamas;Nassau;25.06,-77.345
FLK;Falkland Islands;Stanley;-51.694444,-57.852778
NSV;Svalbard Islands;Longyearbyen;78.22,15.65
GRL;Greenland;Nuuk;64.181389,-51.694167
ATF;French Southern and Antarctic Lands;Saint Pierre;-21.3419,55.4778
TLS;Timor-Leste;Dili;-8.566667,125.566667
ZAF;South Africa;Pretoria;-25.746111,28.188056
LSO;Lesotho;Maseru;-29.31,27.48
MEX;Mexico;Mexico City;19.433333,-99.133333
URY;Uruguay;Montevideo;-34.883611,-56.181944
BRA;Brazil;Brasília;-15.793889,-47.882778
BOL;Bolivia;Sucre;-19.05,-65.25
PER;Peru;Lima;-12.05,-77.033333
COL;Colombia;Bogota;4.711111,-74.072222
PAN;Panama;Panama City;8.983333,-79.516667
CRI;Costa Rica;San José;9.933333,-84.083333
NIC;Nicaragua;Managua;12.136389,-86.251389
HND;Honduras;Tegucigalpa;14.1,-87.216667
SLV;El Salvador;San Salvador;13.698889,-89.191389
GTM;Guatemala;Guatemala City;14.613333,-90.535278
BLZ;Belize;Belmopan;17.251389,-88.766944
VEN;Venezuela;Caracas;10.480556,-66.903611
GUY;Guyana;Georgetown;6.801111,-58.155278
SUR;Suriname;Paramaribo;5.852222,-55.203889
GUF;French Guiana;Cayenne;4.9372,-52.326
ECU;Ecuador;Quito;-0.233333,-78.516667
PRI;Puerto Rico;San Juan;18.406389,-66.063889
JAM;Jamaica;Kingston;17.971389,-76.793056
CUB;Cuba;Havana;23.136667,-82.358889
ZWE;Zimbabwe;Harare;-17.829167,31.052222
BWA;Botswana;Gaborone;-24.658056,25.912222
